name,ingredients,method,glass_type,Ice,garnish,seasonal_associations,strength,flavor_profile
A Moment of Silence,"Rye: 1.50, Apricot Liqueur: 1.00, Veda: 0.50, Applejack brandy: 0.25, Angostura bitters: 0.25",Stir,Double old-fashioned,Block,Orange peel,"Winter, Autumn",Strong,Bitter
A Still Dawn,"Gin: 0.83, Veda: 0.17, Creme de cassis: 0.25, Mezcal: 0.83, Pear bitters: 0.40",Stir,Nick & Nora,-,-,"Atumn, Spring, Winter",Strong,"Dry Sweet, Fruity"
Affinity,"Angostura bitters: 1.00, Veda: 1.00, Dry Vermouth: 0.50, Scotch: 1.00, Sweet Vermouth: 0.50",Stir,Coupe,-,Lemon Peel,"Winter, Autumn",Strong,Dry Sweet
African Flower,"Bourbon: 2.00, Veda: 0.17, Orange bitters: 0.40, Creme de Cacao: 0.17",Stir,old-fashioned,Block,Orange peel,"Winter, Autumn",Strong,Dry sweet
Angel's Share No.3,"Walnut liqueur: 0.75, Cognac: 1.50, Veda: 0.25, Tawny port: 0.50",Stir,Coupe,-,-,Winter,Strong,Sweet
Avenue San Maritn,"Veda: 0.50, Pisco: 1.50, Honey: 2.00, Lime juice: 0.67, Ginger syrup: 0.10",Shake and fine strain,Old fashioned,Cubed,Lime wedge,"Summer, Spring",Medium,"Sweet & Sour, Spicy"
Avion,"Lemon juice: 0.75, Veda: 0.75, Tequila blanco: 0.75, Aperol: 0.75",Shake and fine strain,Nick & Nora,-,Lemon Peel,"Summer, Spring",Strong,Sweet & Sour
BeatIt,"Rye Whiskey: 0.75, Tawny Port: 0.75, Veda: 1.00",Stir,Nick & Nora,-,Orange peel,Winter,Strong,Dry Sweet
Beelzebub,"Mezcal: 0.50, Bourbon: 1.50, Veda: 0.50, Lemon juice: 0.75, Orgeat: 0.50",Shake and fine strain,Nick n Nora,- ,-,"Spring, Summer, Autumn",Medium Strong,"Dry Sweet, Nutty, Smokey"
Black Magic no.2,"Saline solution: 0.04, Banana Do Brazil: 0.33, Peated scotch: 1.00, Veda: 2.00",Stir,Old-fashioned,Block,Orange peel,"Autumn, Winter",Strong,"Dry Sweet, Fruity"
Cherry Bomb No.2,"Veda: 0.17, Spiced Chocolate bitters: 2.00, Luxardo Maraschino: 0.17, Cherry Heering: 0.17, Aqua Bianca: 0.17, Tequila: 2.00",Stir,Double old fashioned,Block,Cherry and green olive,"Autumn, Winter",Strong,"Dry Sweet, Fruity"
